Biotech
Witherop,Julie,100.0
Lathaye,Nedi,95.5
Brolan,Ax,95.0
Antusch,Zachariah,94.5
Whetson,Derrick,94.5
Rushmer,Nicolas,94.0
McGruar,Cash,93.5
Dalley,Ryley,87.5
Pidduck,Gonzales,87.0
Redish,Moishe,87.0
"
"
Chemistry
Gosse,Garv,100
Ruse,Susan,100
Simla,Maritsa,100
Sealy,Dean,99
Shalcras,Wandie,99
Whenman,Noelani,99
Redmile,Angelina,98
Stambridge,Syman,98
Heater,Ara,97
Philipson,Foster,97
"
"
Engineering
Cattenach,Claresta,98.0
Mcsarry,Nevile,94.5
Mazillius,Robert,94.0
Valentine,Sandye,93.0
Brock,Sinclare,92.5
Illiston,Emmerich,92.5
Fitzsymons,Duane,92.0
Grievson,Sonnie,92.0
Kobierra,Harmon,91.5
Outerbridge,Emilio,91.5
"
"
Mathematics
Assante,Kaitlynn,100
Blunsum,King,100
Hubberstey,Theo,100
Bains,Brand,99
Huggins,Consalve,99
Martygin,Stefano,99
Starkey,Debora,99
Wellsman,Joyce,99
Baugh,Felipa,98
Grisdale,Zarla,98
"
"
Physics
Blagden,Rustin,100
Chatain,Tandie,100
Horsted,Randene,100
Rozea,Amalee,100
Warr,Justina,100
Went,Lucilia,100
Hatchette,Marinna,99
Jillings,Kassandra,99
Cuss,Rurik,98
Fader,Carlen,98
"
"
